Abacus of Calculation,Common
Absinth Oil,Rare
Adamantine Armor,Uncommon
Aerial Anchor,Uncommon
Air Mask,Uncommon
Airboat,Legendary
Alchemy Jug,Uncommon
Ammunition +1,Uncommon
Ammuntion +2,Rare
Ammuntion +3,Very Rare
Amulet of Charming,Rare
Amulet of Cheetah Speed,Very Rare
Amulet of Communication,Common
Amulet of Emotions,Rare
Amulet of Health,Rare
Amulet of Hunting,Uncommon
Amulet of Magic Resistance,Very Rare
Amulet of Perpetual Youth,Legendary
Amulet of Proof Against Detection and Location,Uncommon
Amulet of the Beast (Ivory),Rare
Amulet of the Beast (Silver),Rare
Amulet of the Planes,Very Rare
Amulet of the Spirit,Uncommon
Animated Shield,Very Rare
Ankh of Life,Legendary
Anklet of Hobbling,Uncommon
Antidote Potion (Type I),Common
Antidote Potion (Type II),Common
Antidote Potion (Type III),Uncommon
Antidote Potion (Type IV),Rare
Antidote Potion (Type V),Rare
Anvil of the Dwarfs,Legendary
Apparatus of Kwalish,Legendary
Arcane Shot,Rare
Armor of Absorption (Type I),Very Rare
Armor of Absorption (Type II),Legendary
Armor of Command,Legendary
Armor of Fear,Very Rare
Armor of Invulnerability,Legendary
Armor of Resistance,Rare
Armor of Vulnerability,Rare
Armor-Piercing Dagger,Legendary
Armor +1,Rare
Armor +2,Very Rare
Armor +3,Legendary
Aroma of Dreams,Uncommon
Aromatic Pipe,Uncommon
Arrow of Biting,Uncommon
Arrow of Blinding,Uncommon
Arrow of Bow-Breaking,Rare
Arrow of Burning,Rare
Arrow of Direction,Uncommon
Arrow of Energy,Uncommon
Arrow of Extended Range (Type I),Common
Arrow of Extended Range (Type II),Uncommon
Arrow of Extended Range (Type III),Rare
Arrow of Harm,Uncommon
Arrow of Holding,Uncommon
Arrow of Pursuit,Legendary
Arrow of Returning,Uncommon
Arrow of Slaying,Very Rare
Arrow-catching Shield,Rare
Backbiter,Very Rare
Badge of Freedom,Rare
Bag of Beans,Rare
Bag of Beans (Variant),Rare
Bag of Bones (Type I),Very Rare
Bag of Bones (Type II),Legendary
Bag of Devouring,Very Rare
Bag of Holding (1 000 lbs),Rare
Bag of Holding (1 500 lbs),Very Rare
Bag of Holding (100 lbs),Uncommon
Bag of Holding (2 000 lbs),Legendary
Bag of Holding (50 lbs),Common
Bag of Holding (500 lbs),Uncommon
Bag of Many Bags,Uncommon
Bag of Misplacing,Very Rare
Bag of Plenty,Very Rare
Bag of Returning,Very Rare
Bag of Seeds,Rare
Bag of Tricks,Uncommon
Bag of Wind,Very Rare
Bagpipes of Confusion,Rare
Bagpipes of Fear,Rare
Balances of Conversion,Uncommon
Balances of Power,Legendary
Ball of Endless String,Uncommon
Bands of the Beast,Rare
Banner of Ferocity,Rare
Banner of Renown,Legendary
Banner of Terror,Very Rare
Barding of Easy Travel (Type I),Rare
Barding of Easy Travel (Type II),Very Rare
Barding of Flight,Very Rare
Barding of Silence,Uncommon
Barding +1,Rare
Barding +2,Very Rare
Barding +3,Legendary
Basin of the Angel,Legendary
Battle Cloak,Rare
Battle Star,Legendary
Bead of Force,Rare
Beady Eye,Rare
Bell of Alarm,Rare
Bell of Doom,Legendary
Bell of Freedom,Rare
Bell of Protection,Legendary
Belt of Cloud Giant Strength,Legendary
Belt of Dwarvenkind,Rare
Belt of Fire Giant Strength,Very Rare
Belt of Frost Giant Strength,Very Rare
Belt of Hill Giant Strength,Rare
Belt of Many Pouches,Uncommon
Belt of Stone Giant Strength,Very Rare
Belt of Storm Giant Strength,Legendary
Belt of the Lions,Rare
Berserker Axe,Rare
Black Bow,Legendary
Black Candle,Legendary
Black Mace,Legendary
Black Pearl,Legendary
Black Sickle,Very Rare
Blackflame Dagger,Very Rare
Blackstaff,Legendary
Blade of Quickness,Rare
Blanket of Devouring,Rare
Bloodsword,Very Rare
Bolas of Sunlight,Uncommon
Bone of Animation,Rare
Bone Ring,Very Rare
Bonewand,Legendary
Boots of Attraction,Rare
Boots of Balance,Uncommon
Boots of Cloudwalking,Very Rare
Boots of Elvenkind,Uncommon
Boots of Levitation,Rare
Boots of Speed,Rare
Boots of Striding and Springing,Uncommon
Boots of the Winterlands,Uncommon
Boots of Tracks,Uncommon
Bottle of Fireflies,Uncommon
Bottle of Trapping,Legendary
Bow of Doubling,Very Rare
Bow of Marksmanship,Uncommon
Bowl of Commanding Water Elementals,Rare
Box of Delightful Transports (Type I),Uncommon
Box of Delightful Transports (Type II),Rare
Box of Delightful Transports (Type III),Very Rare
Box of Preservation (Type II),Legendary
Bracelet of Beastly Command,Uncommon
Bracelet of Charms,Very Rare
Bracers of Archery,Uncommon
Bracers of Attraction,Very Rare
Bracers of Blasting,Very Rare
Bracers of Brachiating,Uncommon
Bracers of Defense,Rare
Bracers of Defense (Variant Type I),Very Rare
Bracers of Defense (Variant Type II),Legendary
Bracers of Defenselessness,Rare
Bracers of Deflection,Legendary
Bracers of the Merfolk,Uncommon
Brazen Bottle,Very Rare
Brazier of Commanding Fire Elementals,Rare
Bridle of Calm,Uncommon
Bridle of Plane Shifting,Very Rare
Bringer of Doom,Legendary
Brooch of Shielding,Uncommon
Broom of Flying,Uncommon
Buckle of Lockpicks,Uncommon
Buckle of Weaponry,Rare
Caduceus Staff,Uncommon
Camouflaging Tent,Uncommon
Candle of Everburning,Common
Candle of Exploding,Uncommon
Candle of Invocation,Very Rare
Candle of Protection,Uncommon
Cane of Armament,Very Rare
Canteen of Coolness,Common
Cap of Healing,Rare
Cap of Sleep,Legendary
Cap of Water Breathing,Uncommon
Cape of Disguise,Uncommon
Cape of Shadows,Very Rare
Cape of the Hornet,Legendary
Cape of the Mountebank,Rare
Carpet of Flying,Very Rare
Case of Compression,Uncommon
Casket of the Wind Spy,Rare
Cat's Eye Ring,Uncommon
Catalogue of Outer Planar Artifacts,Legendary
Cauldron of Creatures,Very Rare
Cauldron of Doom,Legendary
Cauldron of Potion-Brewing,Legendary
Cauldron of Warming,Uncommon
Censer of Controlling Air Elementals,Rare
Censer of Thaumaturgy,Legendary
Chair of Extra Seating,Uncommon
Chair of Insomnia,Uncommon
Chair of the Ancestors,Rare
Chalice of Detection,Very Rare
Chalice of Identification,Very Rare
Chalice of Liquid Bread,Uncommon
Chalice of Planar Travel,Legendary
Changeling Cloak,Uncommon
Chariot of Flames,Legendary
Charm of Distraction,Legendary
Charm of Favor,Legendary
Charm of Hunting,Uncommon
Charm of Protection,Uncommon
Chime of Opening,Rare
Chime of Time,Common
Chimes of Interruption,Very Rare
Cindergem,Rare
